SiteID,Name,Short Name,Latitude,Longitude,Geographic Coordinate System,Easting,Northing,Zone,Start date,Cease date,Active,Elevation (m),Basin,Site types,Catchment Management Authority,Gauge Zero (mAHD),Drainage Area (sq.km),Gauge Count,Last Gauge Date,First Gauge Date,Maximum Gauge (m),Maximum Gauge Date,Gauge Datum,Control,Cease to flow (m),Datum,Spillway (mAHD)
 "409399","LITTLE MURRAY RIVER @ D/S LITTLE MURRAY WEIR","LITTLE MURRAY RIVER"," 35�24'30.9""S","143�37'08.5""E","World Geodetic System 1984","737824.864","6078480.370","54","1992/05/11","","true","67.402","Loddon","RF,SW","North Central CMA","64.460","0.00000","56","2026/03/19","2015/01/16","68.540","2023/07/20","Universal Transverse Mercator","Control: Natural","0.000","Australian Height Datum","0.000"
 "409701","NATIONAL CHANNEL @ D/S TORRUMBARRY HEADWORKS","NATIONAL D/S TORRUM."," 35�59'33.5""S","144�30'30.6""E","Geodetic Datum of Australia 1994","275404.799","6013998.411","55","1998/08/28","","true","87.856","Loddon","SW","North Central CMA","0.000","0.00000","358","2026/02/24","1971/09/29","86.090","1994/02/17","(unknown)","Natural; Stream bed and banks","0.000","Australian Height Datum","0.000"
 "409710","YARRAWONGA MAIN CHANNEL ESCAPE @ MURRAY VALLEY HIGHWAY","YARRAWONGA MAIN CH."," 35�59'54.3""S","145�49'24.1""E","World Geodetic System 1984","393947.001","6015573.000","55","1988/08/10","","true","116.007","Broken","SW","Goulburn Broken CMA","0.000","0.00000","192","2026/04/07","1988/08/16","0.350","1991/08/14","Universal Transverse Mercator","ARTIFICIAL CONCRETE WEIR","0.100","Unknown","0.000"
 "409711","MURRAY VALLEY DRAIN 3 OUTFALL @ SHEEPWASH CREEK","M-V DR 3 @ SHEEPWASH"," 35�50'23.9""S","145�29'44.5""E","World Geodetic System 1984","364141.996","6032744.000","55","1990/05/30","","true","106.740","Broken","RF,SW","Goulburn Broken CMA","106.792","0.00000","62","2017/10/24","1990/07/23","0.775","2016/10/20","Universal Transverse Mercator","ARTIFICIAL","0.100","Australian Height Datum","0.000"
 "409712","MURRAY VALLEY DRAIN 6 TAIL @ 2 KM NTH MURRAY VALLEY H'W","M-V DRAIN 6 TAIL"," 35�54'29.5""S","145�19'55.8""E","World Geodetic System 1984","349501.998","6024935.000","55","1990/05/29","","true","105.925","Broken","RF,SW,WQ","Goulburn Broken CMA","0.000","0.00000","113","2025/09/22","1990/07/23","1.531","1992/09/03","Universal Transverse Mercator","NATURAL","0.000","Unknown","0.000"
 "409722","YARRAWONGA MAIN CHANNEL @ 5 KM U/S 409700","YARRAWONGA MAIN CH"," 36�00'47.2""S","145�59'54.6""E","Geodetic Datum of Australia 1994","409749.796","6014133.668","55","2012/02/01","","true","125.915","Broken","SW","Goulburn Broken CMA","0.000","0.00000","128","2026/04/08","2012/02/13","133.410","2022/01/11","(unknown)","","0.000","Unknown","0.000"
 "414200","MURRAY RIVER @ BELOW WAKOOL JUNCTION","MURRAY BELOW WAKOOL"," 34�50'49.8""S","143�20'29.5""E","Geodetic Datum of Australia 1994","714084.914","6141403.509","54","1929/07/01","","true","58.160","Mallee","SW,WQ","Mallee CMA","0.000","0.00000","721","2026/04/14","1929/06/26","11.713","2022/11/14","(unknown)","NATURAL CLAY AND SAND","0.000","Unknown","0.000"
 "414201","MURRAY RIVER @ BOUNDARY BEND","MURRAY BOUNDARY BEND"," 34�43'10.8""S","143�10'11.5""E","World Geodetic System 1984","698694.003","6155887.000","54","1955/05/15","","true","47.336","Mallee","SW,WQ","","47.694","475.71988","563","2026/04/15","1975/05/16","8.510","1992/11/18","Universal Transverse Mercator","NATURAL ROCK BAR AND SAND","0.000","Australian Height Datum","0.000"
 "414203","MURRAY RIVER @ EUSTON","MURRAY @ EUSTON"," 34�36'00.9""S","142�45'29.5""E","World Geodetic System 1984","661224.001","6169867.000","54","1930/01/01","","true","41.484","Mallee","SW,WQ","North Central CMA","41.840","1344.89490","791","2026/04/15","1938/07/28","52.417","1956/08/09","Universal Transverse Mercator","NATURAL CLAY AND SAND","0.000","Australian Height Datum","0.000"
 "414207","MURRAY RIVER @ COLIGNAN","MURRAY @ COLIGNAN"," 34�34'01.5""S","142�24'26.0""E","World Geodetic System 1984","629087.998","6174050.000","54","1960/06/01","","true","32.624","Mallee","SW,WQ","","35.033","2475.89171","593","2026/04/07","1961/02/14","8.870","1974/10/30","Universal Transverse Mercator","NATURAL SAND AND GRAVEL","0.000","Australian Height Datum","0.000"
 "414211","MULLAROO CREEK @ U/S BROKEN BACK BRIDGE","MULLAROO @ LOCK 7"," 34�06'21.5""S","141�13'53.5""E","Unknown","521355.726","6226055.778","54","1978/02/08","","true","24.378","Mallee","SW,WQ","Mallee CMA","0.000","19103.33088","363","2026/04/09","1978/02/08","24.120","2016/11/02","Unknown","Control:Natural; Clay river bed/banks","8.310","Arbitrary","0.000"
 "414212","LINDSAY RIVER @ MURRAY RIVER OFFTAKE","LINDSAY @ MURRAY"," 34�06'41.6""S","141�17'53.6""E","World Geodetic System 1984","527505.003","6225421.000","54","1988/11/09","","true","19.829","Mallee","SW","Mallee CMA","0.000","0.00000","103","2026/04/08","1988/11/09","25.543","2016/12/06","Universal Transverse Mercator","ARTIFICIAL 50MM. CONCRETE PIPE","21.600","Australian Height Datum","0.000"
 "414214","MULLAROO CREEK @ U/S LINDSAY RIVER","MULLAROO U/S LINDSAY"," 34�07'19.7""S","141�08'04.6""E","World Geodetic System 1984","512414.000","6224279.000","54","","","true","21.675","Mallee","SW","Mallee CMA","0.000","19146.37501","3","1993/08/04","1991/10/03","4.600","1993/02/04","Universal Transverse Mercator","Artificial: Lock 6 gates","0.000","Australian Height Datum","0.000"
 "414216","MURRAY RIVER @ D/S MILDURA WEIR (CHAFFEYS GRAVE YARD)","MURRAY DS MILDURA"," 34�09'59.7""S","142�09'36.8""E","World Geodetic System 1984","606936.379","6218751.387","54","1992/05/06","","true","37.016","Mallee","SW","Mallee CMA","0.000","17839.92964","170","2026/04/09","2001/11/08","38.310","2022/12/13","Universal Transverse Mercator","Natural; River bed and banks","0.000","Unknown","0.000"
 "414218","LINDSAY RIVER @ U/S OF LAKE WALLAWALLA","LINDSAY @U/S L WALLA"," 34�08'11.2""S","141�13'04.3""E","World Geodetic System 1984","520085.999","6222680.000","54","1992/05/05","","true","22.122","Mallee","SW","Mallee CMA","0.000","20012.50827","112","2026/04/08","1992/06/03","6.178","2016/12/07","Universal Transverse Mercator","NATURAL RIVER BED AND BANKS","1.400","Arbitrary","0.000"
