Name,SiteID,RoundDate,Streamflow,Turbidity,Temperature,Latitude,Longitude,Easting,Northing
TAMBO @ SWIFTS CREEK,223202,4,51.72,1.9,15.1," 37°16'07.6""S","147°43'43.7""E",564619.147,5875046.965
TAMBO @ SWIFTS CREEK,223202,5,46.28,1.4,14.1," 37°16'07.6""S","147°43'43.7""E",564619.147,5875046.965
TAMBO @ SWIFTS CREEK,223202,6,139.71,122,8," 37°16'07.6""S","147°43'43.7""E",564619.147,5875046.965
NICHOLSON @ DEPTFORD,223204,7,124.02,2.4,7.3," 37°35'34.6""S","147°41'49.6""E",561542.999,5839104.000
NICHOLSON @ DEPTFORD,223204,8,55.25,3,6.5," 37°35'34.6""S","147°41'49.6""E",561542.999,5839104.000
NICHOLSON @ DEPTFORD,223204,9,44.79,3.3,12.6," 37°35'34.6""S","147°41'49.6""E",561542.999,5839104.000
NICHOLSON @ DEPTFORD,223204,10,27.79,2,15.3," 37°35'34.6""S","147°41'49.6""E",561542.999,5839104.000
NICHOLSON @ DEPTFORD,223204,11,22.11,3.2,18.6," 37°35'34.6""S","147°41'49.6""E",561542.999,5839104.000
NICHOLSON @ DEPTFORD,223204,12,18.81,1.2,24," 37°35'34.6""S","147°41'49.6""E",561542.999,5839104.000
NICHOLSON @ DEPTFORD,223204,1,22.29,2.3,22.5," 37°35'34.6""S","147°41'49.6""E",561542.999,5839104.000
NICHOLSON @ DEPTFORD,223204,2,175.23,11.6,19," 37°35'34.6""S","147°41'49.6""E",561542.999,5839104.000
NICHOLSON @ DEPTFORD,223204,3,78.61,1.1,18.2," 37°35'34.6""S","147°41'49.6""E",561542.999,5839104.000
NICHOLSON @ DEPTFORD,223204,4,131.01,3.9,13.6," 37°35'34.6""S","147°41'49.6""E",561542.999,5839104.000
NICHOLSON @ DEPTFORD,223204,5,60.23,2.1,10.9," 37°35'34.6""S","147°41'49.6""E",561542.999,5839104.000
NICHOLSON @ DEPTFORD,223204,6,152.74,23.9,8.8," 37°35'34.6""S","147°41'49.6""E",561542.999,5839104.000
TAMBO @ BATTENS,223209,7,773.88,7.8,9.1," 37°45'26.3""S","147°50'56.8""E",574796.103,5820757.900
TAMBO @ BATTENS,223209,8,0,5.8,10.7," 37°45'26.3""S","147°50'56.8""E",574796.103,5820757.900
TAMBO @ BATTENS,223209,9,0,7.8,17.1," 37°45'26.3""S","147°50'56.8""E",574796.103,5820757.900
TAMBO @ BATTENS,223209,10,0,6.7,17.2," 37°45'26.3""S","147°50'56.8""E",574796.103,5820757.900
TAMBO @ BATTENS,223209,11,0,5.9,21.7," 37°45'26.3""S","147°50'56.8""E",574796.103,5820757.900
TAMBO @ BATTENS,223209,12,0,13.9,23.5," 37°45'26.3""S","147°50'56.8""E",574796.103,5820757.900
TAMBO @ BATTENS,223209,1,0,19,24.5," 37°45'26.3""S","147°50'56.8""E",574796.103,5820757.900
TAMBO @ BATTENS,223209,2,0,18.6,17.9," 37°45'26.3""S","147°50'56.8""E",574796.103,5820757.900
TAMBO @ BATTENS,223209,3,0,6.9,22.4," 37°45'26.3""S","147°50'56.8""E",574796.103,5820757.900
TAMBO @ BATTENS,223209,4,0,13.9,15.5," 37°45'26.3""S","147°50'56.8""E",574796.103,5820757.900
TAMBO @ BATTENS,223209,5,0,6.8,12," 37°45'26.3""S","147°50'56.8""E",574796.103,5820757.900
TAMBO @ BATTENS,223209,6,0,65,10.2," 37°45'26.3""S","147°50'56.8""E",574796.103,5820757.900
TAMBO @ U/S SMITH CK,223214,7,4.75,4.3,4.8," 36°57'16.9""S","147°55'39.5""E",582588.000,5909735.999
TAMBO @ U/S SMITH CK,223214,8,4.53,7.7,2," 36°57'16.9""S","147°55'39.5""E",582588.000,5909735.999
TAMBO @ U/S SMITH CK,223214,9,4.33,6.5,7.1," 36°57'16.9""S","147°55'39.5""E",582588.000,5909735.999
TAMBO @ U/S SMITH CK,223214,10,3.22,16.1,8.9," 36°57'16.9""S","147°55'39.5""E",582588.000,5909735.999
TAMBO @ U/S SMITH CK,223214,11,1.84,2.7,11.2," 36°57'16.9""S","147°55'39.5""E",582588.000,5909735.999
TAMBO @ U/S SMITH CK,223214,12,3.06,4.5,13.9," 36°57'16.9""S","147°55'39.5""E",582588.000,5909735.999
