Date,Reservoir,Value,System
30/4/2014,Gong Gong,740,Ballarat
31/5/2014,Gong Gong,479,Ballarat
30/6/2014,Gong Gong,513,Ballarat
31/7/2014,Gong Gong,529.9,Ballarat
31/8/2014,Gong Gong,893,Ballarat
30/9/2014,Gong Gong,954,Ballarat
31/10/2014,Gong Gong,968,Ballarat
30/11/2014,Gong Gong,960.9,Ballarat
31/12/2014,Gong Gong,971,Ballarat
31/1/2015,Gong Gong,858,Ballarat
28/2/2015,Gong Gong,851,Ballarat
31/3/2015,Gong Gong,837,Ballarat
30/4/2015,Gong Gong,832,Ballarat
31/5/2015,Gong Gong,712,Ballarat
30/6/2015,Gong Gong,502,Ballarat
31/7/2015,Gong Gong,461,Ballarat
31/8/2015,Gong Gong,494.5,Ballarat
30/9/2015,Gong Gong,416,Ballarat
31/10/2015,Gong Gong,344,Ballarat
